arrival,carrier,co2,departure,distance,dwell,from_lat,from_lon,from_name,mode,shipment,step,time,to_lat,to_lon,to_name
2019-01-13 22:40:54.576075,3,716.3424895585721,2017-10-16 10:28:00.000000,5454.107580010446,2017-10-16 10:28:00.000000,46.81228,-71.21454,8,truck,ship00000,0,10908.215160020893,33.58831,-7.61138,3
2020-03-26 15:33:04.145860,0,68.47925669185983,2019-01-14 16:40:54.576075,2621.7173312350624,2019-01-13 22:40:54.576075,33.58831,-7.61138,3,boat,ship00000,1,10486.86932494025,53.57532,10.01534,2
2020-11-12 02:18:46.799992,0,36.04404486985587,2020-03-27 02:33:04.145860,1379.940462092491,2020-03-26 15:33:04.145860,53.57532,10.01534,2,boat,ship00000,2,5519.761848369964,64.62477,21.07689,7
2018-01-09 10:03:32.547947,4,4894.448430263748,2017-12-09 00:49:00.000000,6025.938995436943,2017-12-09 00:49:00.000000,-10.71484,25.46674,4,plane,ship00001,0,753.2423744296178,33.58831,-7.61138,3
2019-03-23 02:55:42.117732,4,68.47925669185983,2018-01-10 04:03:32.547947,2621.7173312350624,2018-01-09 10:03:32.547947,33.58831,-7.61138,3,boat,ship00001,1,10486.86932494025,53.57532,10.01534,2
2019-07-16 18:48:33.444798,2,181.24138029122778,2019-03-23 18:55:42.117732,1379.940462092491,2019-03-23 02:55:42.117732,53.57532,10.01534,2,truck,ship00001,2,2759.880924184982,64.62477,21.07689,7
2019-03-10 15:26:01.341222,2,871.5613194661202,2017-09-03 15:36:00.000000,6635.9168529474655,2017-09-03 15:36:00.000000,-10.71484,25.46674,4,truck,ship00002,0,13271.833705894931,43.26271,-2.92528,1
2019-07-13 04:16:02.346114,0,195.620003330901,2019-03-11 01:26:01.341222,1489.4168062349702,2019-03-10 15:26:01.341222,43.26271,-2.92528,1,truck,ship00002,1,2978.8336124699404,53.57532,10.01534,2
2019-11-06 04:08:53.673180,2,181.24138029122778,2019-07-14 04:16:02.346114,1379.940462092491,2019-07-13 04:16:02.346114,53.57532,10.01534,2,truck,ship00002,2,2759.880924184982,64.62477,21.07689,7
2021-08-29 11:11:39.179352,0,190.47864740032392,2018-05-02 01:25:00.000000,7292.444387454973,2018-05-02 01:25:00.000000,-11.05248,26.54665,9,boat,ship00003,0,29169.777549819893,51.9225,4.47917,6
2021-09-06 04:14:35.090917,2,1176.4265525572273,2021-08-29 15:11:39.179352,1448.3909145897435,2021-08-29 11:11:39.179352,51.9225,4.47917,6,plane,ship00003,1,181.04886432371794,60.45148,22.26869,0
2021-09-08 22:53:06.286620,4,381.04632552407645,2021-09-06 12:14:35.090917,469.13599045107475,2021-09-06 04:14:35.090917,60.45148,22.26869,0,plane,ship00003,2,58.64199880638434,64.62477,21.07689,7
2019-03-16 21:20:44.661892,0,685.9414767073413,2018-01-05 16:04:00.000000,5222.639536373848,2018-01-05 16:04:00.000000,46.81228,-71.21454,8,truck,ship00004,0,10445.279072747697,43.26271,-2.92528,1
2020-02-04 08:35:54.182939,2,50.77892977012205,2019-03-17 08:20:44.661892,1944.0631611838455,2019-03-16 21:20:44.661892,43.26271,-2.92528,1,boat,ship00004,1,7776.252644735382,58.27429,11.43576,10
2020-04-17 17:11:27.697481,2,114.63306886110936,2020-02-04 23:35:54.182939,872.7963214642101,2020-02-04 08:35:54.182939,58.27429,11.43576,10,truck,ship00004,2,1745.5926429284202,64.62477,21.07689,7
2018-02-25 21:33:19.974355,4,5923.142104822553,2018-01-18 22:00:00.000000,7292.444387454973,2018-01-18 22:00:00.000000,-11.05248,26.54665,9,plane,ship00005,0,911.5555484318717,51.9225,4.47917,6
2018-06-26 14:20:14.559401,4,190.23166272221692,2018-02-25 21:33:19.974355,1448.3909145897435,2018-02-25 21:33:19.974355,51.9225,4.47917,6,truck,ship00005,1,2896.781829179487,60.45148,22.26869,0
2018-06-29 22:58:45.755104,4,381.04632552407645,2018-06-27 12:20:14.559401,469.13599045107475,2018-06-26 14:20:14.559401,60.45148,22.26869,0,plane,ship00005,2,58.64199880638434,64.62477,21.07689,7
2018-07-25 08:35:47.791368,0,4241.984510628931,2018-06-28 03:46:00.000000,5222.639536373848,2018-06-28 03:46:00.000000,46.81228,-71.21454,8,plane,ship00006,0,652.829942046731,43.26271,-2.92528,1
2019-09-23 21:25:53.750683,3,66.63104247620177,2018-07-25 17:35:47.791368,2550.9587471746463,2018-07-25 08:35:47.791368,43.26271,-2.92528,1,boat,ship00006,1,10203.834988698585,60.45148,22.26869,0
2019-11-02 15:42:12.881931,3,61.61632098584416,2019-09-24 13:25:53.750683,469.13599045107475,2019-09-23 21:25:53.750683,60.45148,22.26869,0,truck,ship00006,2,938.2719809021495,64.62477,21.07689,7
2020-08-21 10:28:00.018528,3,137.7736403669411,2018-03-26 07:54:00.000000,5274.641667953334,2018-03-26 07:54:00.000000,46.81228,-71.21454,8,boat,ship00007,0,21098.566671813336,51.9225,4.47917,6
2020-08-26 05:43:15.191759,2,677.4272070068441,2020-08-21 21:28:00.018528,834.0337182901937,2020-08-21 10:28:00.018528,51.9225,4.47917,6,plane,ship00007,1,104.25421478627422,58.27429,11.43576,10
2020-11-07 20:18:48.706301,3,114.63306886110936,2020-08-27 02:43:15.191759,872.7963214642101,2020-08-26 05:43:15.191759,58.27429,11.43576,10,truck,ship00007,2,1745.5926429284202,64.62477,21.07689,7
2018-03-13 22:17:32.547947,2,4894.448430263748,2018-02-10 13:03:00.000000,6025.938995436943,2018-02-10 13:03:00.000000,-10.71484,25.46674,4,plane,ship00008,0,753.2423744296178,33.58831,-7.61138,3
2019-05-25 18:09:42.117732,3,68.47925669185983,2018-03-14 19:17:32.547947,2621.7173312350624,2018-03-13 22:17:32.547947,33.58831,-7.61138,3,boat,ship00008,1,10486.86932494025,53.57532,10.01534,2
2019-09-18 08:02:33.444798,4,181.24138029122778,2019-05-26 08:09:42.117732,1379.940462092491,2019-05-25 18:09:42.117732,53.57532,10.01534,2,truck,ship00008,2,2759.880924184982,64.62477,21.07689,7
2020-11-24 03:38:02.682444,3,173.3301481989878,2017-11-14 03:58:00.000000,6635.9168529474655,2017-11-14 03:58:00.000000,-10.71484,25.46674,4,boat,ship00009,0,26543.667411789862,43.26271,-2.92528,1
2020-12-02 19:48:40.245250,2,1209.7490125282297,2020-11-25 01:38:02.682444,1489.4168062349702,2020-11-24 03:38:02.682444,43.26271,-2.92528,1,plane,ship00009,1,186.17710077937127,53.57532,10.01534,2
