arrival,carrier,co2,departure,distance,dwell,from_lat,from_lon,from_name,mode,shipment,step,time,to_lat,to_lon,to_name
2021-07-05 01:44:31.940058,2,191.48262176904942,2018-03-01 06:13:00.000000,7330.881384726241,2018-03-01 06:13:00.000000,-11.05248,26.54665,9,boat,ship00000,0,29323.525538904963,53.57532,10.01534,2
2021-07-19 09:27:24.739114,0,2129.4374679490547,2021-07-05 17:44:31.940058,2621.7173312350624,2021-07-05 01:44:31.940058,53.57532,10.01534,2,plane,ship00000,1,327.7146664043828,33.58831,-7.61138,3
2021-08-09 13:46:59.650608,1,3218.5514630286366,2021-07-19 22:27:24.739114,3962.6109144314255,2021-07-19 09:27:24.739114,33.58831,-7.61138,3,plane,ship00000,2,495.3263643039282,64.62477,21.07689,7
2021-06-01 18:29:54.376433,0,189.96737596614142,2018-02-05 15:01:00.000000,7272.8704428078645,2018-02-05 15:01:00.000000,-10.71484,25.46674,4,boat,ship00001,0,29091.481771231458,53.57532,10.01534,2
2022-01-06 23:55:59.161325,2,344.3363542844131,2021-06-02 12:29:54.376433,2621.7173312350624,2021-06-01 18:29:54.376433,53.57532,10.01534,2,truck,ship00001,1,5243.434662470125,33.58831,-7.61138,3
2023-10-29 11:22:36.329138,2,103.50339708494884,2022-01-07 00:55:59.161325,3962.6109144314255,2022-01-06 23:55:59.161325,33.58831,-7.61138,3,boat,ship00001,2,15850.443657725702,64.62477,21.07689,7
2018-01-05 19:31:00.018557,1,6340.267413494625,2017-11-26 03:46:00.000000,7806.000041237857,2017-11-26 03:46:00.000000,-11.05248,26.54665,9,plane,ship00002,0,975.7500051547321,58.27429,11.43576,10
2019-06-05 10:12:27.768054,3,80.74796250117105,2018-01-06 04:31:00.018557,3091.42276038174,2018-01-05 19:31:00.018557,58.27429,11.43576,10,boat,ship00002,1,12365.69104152696,33.58831,-7.61138,3
2021-03-27 05:39:04.935867,1,103.50339708494884,2019-06-05 19:12:27.768054,3962.6109144314255,2019-06-05 10:12:27.768054,33.58831,-7.61138,3,boat,ship00002,2,15850.443657725702,64.62477,21.07689,7
2019-07-27 01:32:07.058163,0,706.4582877526526,2018-05-04 19:50:00.000000,5378.850980300384,2018-05-04 19:50:00.000000,46.81228,-71.21454,8,truck,ship00003,0,10757.701960600769,58.27429,11.43576,10
2020-01-05 16:39:41.818687,4,255.3332555898863,2019-07-27 16:32:07.058163,1944.0631611838455,2019-07-27 01:32:07.058163,58.27429,11.43576,10,truck,ship00003,1,3888.126322367691,43.26271,-2.92528,1
2020-01-21 07:27:03.926529,0,2285.871718338429,2020-01-06 15:39:41.818687,2814.3157952038573,2020-01-05 16:39:41.818687,43.26271,-2.92528,1,plane,ship00003,2,351.78947440048216,64.62477,21.07689,7
2020-04-18 15:35:19.789118,0,1036.851951486493,2018-06-30 18:46:00.000000,7894.411081821934,2018-06-30 18:46:00.000000,-10.71484,25.46674,4,truck,ship00004,0,15788.822163643868,60.45148,22.26869,0
2020-05-08 14:23:23.873757,2,2994.2120445916494,2020-04-19 09:35:19.789118,3686.409076975302,2020-04-18 15:35:19.789118,60.45148,22.26869,0,plane,ship00004,1,460.80113462191275,33.58831,-7.61138,3
